Name:,Sharp Aquos LC-52D92U,,,,v9.07,,,,,,,CURRENT DATA
Devices:,Sharp Combo (Official),,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,58,NO,,,,,,,
Setup:,1093,99 = 15-2117 / 15-2116,01 - Cable,OBC,USE,,2,No,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 64 45 (Cable/1093) Sharp Aquos LC-52D92U (KM v9.07),,,,,,,,,,,,
9C 00 FE FE FE F5 7C AF 7C 7F 7C BF 7C 3F 7C DF 7C 5F 7C 9F 7C 1F 7C EF 7C 6F 7C D7 7C 57 7C 17 7C 77 7C B7 7C 97 7C 27 7C 0B 7C 10 7C 37 7C FB 7C 15 7C E5 7C 50 7C 90 7C D0 7C 30 7C B2 7C D2 7C 72 7C 32 74 0E 7C FA 7C A7 7C 2F 7C 8B 7C 5D 7C 35,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 2F F4 64 45 74 A3«dot: …to the left of zero»¦2A F4 64 45 74 AD«discrete on»  ¦2B F4 64 45 74 2D«discrete off» ¦9F F4 64 45 7C 77«channel up»¦95 F4 64 45 7C 53«input 1 select: Component/Composite (OBC=050)» ¦96 F4 64 45 7C 93«input 2 select: Svideo/Composite (OBC=051)» ¦97 F4 64 45 7C 13«input 3 select: Component (OBC=052)»  ¦99 F4 64 45 7C 4C«input 4 select: HDMI (OBC=211)» ¦9A F4 64 45 74 CD«input 5 select: HDMI»  ¦9B F4 64 45 74 F5«input 6 select: HDMI»  ¦9C F4 64 45 74 56«input 7 select: DVI»¦88 F4 64 45 7C AD«close caption»¦8E F4 64 45 7C E0«av mode»¦90 F4 64 45 7C FD«service mode» ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 9C (S3C8+) Sharp Combo (Official) (KM v9.07),,,,,,,,,,,,
3D 92 02 8B 0D 49 05 08 00 84 01 75 00 84 03 87 83 C2 E6 24 03 20 10 0C 05 E4 03 05 60 05 90 05 0A FC B0 C6 A6 0D 02 EB 03 E6 0D 05 F6 01 46 60 04 60 05 F6 01 0A 7B 02 60 C6 F6 01 46 37 61 09 60 04 60 05 F6 01 0A 7B E3 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,010,1,0,00 - num 0,,Protocol ID,Fixed Data,,,,,15 - channel up
num 1,001,1,1,01 - num 1,,,,,,,,42 - input 1 select
num 2,002,1,2,02 - num 2,,,,,,,,43 - input 2 select
num 3,003,1,3,03 - num 3,,,,,,,,44 - input 3 select
num 4,004,1,4,04 - num 4,,,,,,,,45 - input 4 select
num 5,005,1,5,05 - num 5,,,,,,,,46 - input 5 select
num 6,006,1,6,06 - num 6,,,,,,,,47 - input 6 select
num 7,007,1,7,07 - num 7,,,,,,,,48 - input 7 select
num 8,008,1,8,08 - num 8,,,,,,,,
num 9,009,1,9,09 - num 9,,,,,,,,
enter,011,1,vol up,12 - vol up,"For numeric entry, to the right of zero",,,,,,,
dot,058,17,vol down,13 - vol down,…to the left of zero,,,,,,,
vol up,020,1,mute,14 - mute,,,,,,,,34 - close caption
vol down,021,1,channel up,15 - channel up,,,,,,,,
mute,023,1,channel down,16 - channel down,,,,,,,,
channel up,017,1,power,49 - power toggle,,,,,,,,
channel down,018,1,enter,10 - enter,,,,,,,,
,,,tv/video,41 - input,,,,,,,,
menu,032,1,last,25 - flashback,,,,,,,,
return,244,1,menu,17 - menu,pop one level in menu,,,,,,,
exit,243,1,guide,18 - return,exit all menu selections,,,,,,,
up arrow,087,1,up arrow,20 - up arrow,,,,,,,,
down arrow,088,1,down arrow,21 - down arrow,,,,,,,,
left arrow,245,1,left arrow,22 - left arrow,,,,,,,,
right arrow,246,1,right arrow,23 - right arrow,,,,,,,,
select,247,1,select,24 - select,menu select,,,,,,,
,,,sleep,26 - sleep,,,,,,,,
flashback,047,1,pip,32 - surround,undo last select or channel change,,,,,,,
sleep,026,1,info,39 - display,,,,,,,,
favorite a,177,1,swap,,,,,,,,,
favorite b,178,1,move,37 - opc,,,,,,,,
favorite c,179,1,play,28 - favorite b,,,,,,,,
favorite d,180,1,pause,40 - view mode,,,,,,,,
favorite,143,17,rewind,27 - favorite a,Favorite creation menu,,,,,,,
surround,046,1,fast fwd,29 - favorite c,(OBC=110),,,,,,,
audio only,227,1,stop,30 - favorite d,disable video display,,,,,,,36 - av mode
close caption,074,1,record,31 - favorite,,,,,,,,52 - service mode
audio,024,1,exit,19 - exit,,,,,,,,
av mode,248,1,surround,,,,,,,,,
,,,input,,,,,,,,,
opc,069,1,+100,11 - dot,Automatic brightness control,,,,,,,
freeze,083,1,fav/scan,,,,,,,,,
display,027,1,device button,,,,,,,,,
view mode,160,1,next track,,,,,,,,,
input,019,1,prev track,,toggle through input selections,,,,,,,
input tuner select,,,shift-left,,"hack: use ""CH+""",,,,,,,
input 1 select,053,1,shift-right,,Component/Composite (OBC=050),,,,,,,
input 2 select,054,1,freeze,38 - freeze,Svideo/Composite (OBC=051),,,,,,,
input 3 select,055,1,slow,,Component (OBC=052),,,,,,,
input 4 select,205,1,eject,,HDMI (OBC=211),,,,,,,
input 5 select,076,17,slow+,,HDMI,,,,,,,
input 6 select,080,17,slow-,,HDMI,,,,,,,
input 7 select,149,17,x2,,DVI,,,,,,,
power toggle,022,1,center,,,,,,,,,
discrete on,074,17,rear,,,,,,,,,
discrete off,075,17,phantom1,,,,,,,,,
service mode,064,1,phantom2,,,,,,,,,
evil K mode,119,1,phantom3,,Display K in green square and create 3 levels of volume,,,,,,,
industrial initialization,235,1,phantom4,,Reboot and recover from evil K,,,,,,,
,,,phantom5,,,,,,,,,
input 1 select again,050,1,DiscreteON,50 - discrete on,Redundant codes start here,,,,,,,
input 2 select again,051,1,DiscreteOFF,51 - discrete off,Alternate OBC codes listed above in comments,,,,,,,
input 3 select again,052,1,phantom8,,,,,,,,,
input 4 select again,211,1,phantom9,,,,,,,,,
surround again,110,1,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
