Name:,Panasonic LX-H670,,,,v6.12b,,CURRENT DATA
Devices:,Panasonic,144,64,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,
Setup,0205,01 = 15-1994,09 - Laserdisc,EFC,USE,,
15-1994 Device Upgrade Code (27 bytes):,,,,,,,
Upgrade code 0 = 20 CD (Laserdisc/0205),,,,,,,
C9 19 3C 40 7E E9 F4 BF FB F6 FD AD 6D 43 DA FA,,,,,,,
AA 55 B4 4F CF AF 9F DF 5F FF 7F,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
num 0,249,,0,00 - num 0,,Protocol ID,Fixed Data
num 1,117,,1,01 - num 1,,,
num 2,121,,2,02 - num 2,,,
num 3,119,,3,03 - num 3,,,
num 4,123,,4,04 - num 4,,,
num 5,116,,5,05 - num 5,,,
num 6,120,,6,06 - num 6,,,
num 7,118,,7,07 - num 7,,,
num 8,122,,8,08 - num 8,,,
num 9,245,,9,09 - num 9,,,
vol up,,,vol up,vol up,,,
vol down,,,vol down,vol down,,,
mute,,,mute,mute,,,
skip+,039,,channel up,10 - skip+,,,
skip-,041,,channel down,11 - skip-,,,
power,024,,power,12 - power,,,
+10,220,,enter,13 - +10,,,
clear,221,,tv/vcr,14 - clear,,,
last (prev ch),,,last,last (prev ch),,,
menu,,,menu,menu,,,
program,095,,program / guide,15 - program,,,
up arrow,,,up arrow,up arrow,,,
down arrow,,,down arrow,down arrow,,,
left arrow,,,left arrow,left arrow,,,
right arrow,,,right arrow,right arrow,,,
select,,,select,select,,,
sleep,,,sleep,sleep,,,
time mode,104,,pip,16 - time mode,,,
display,111,,display,17 - display,,,
step-,056,,swap,18 - step-,,,
step+,052,,move,19 - step+,,,
play,055,,play,20 - play,,,
pause,182,,pause,21 - pause,,,
rewind,180,,rewind,22 - rewind,,,
fast fwd,184,,fast fwd,23 - fast fwd,,,
stop,181,,stop,24 - stop,,,
record,,,record,record,,,
eject,185,,exit,25 - eject,,,
surround,,,surround,surround,,,
input toggle,,,input,input toggle,,,
input select,,,+100,+100,,,
discrete on,022,,fav/scan,fav/scan,,,
discrete off,026,,device button,device button,,,
side a,179,,shift-up,shift-up,,,
side b,172,,shift-down,shift-down,,,
recall,225,,shift-left,shift-left,,,
mode,173,,shift-right,shift-right,,,
edit,096,,pip freeze,pip freeze,,,
repeat,170,,slow,slow,,,
a-b repeat,037,,eject,eject,,,
intro scan,166,,slow+,slow+,,,
random,040,,slow-,slow-,,,
d/a-cx,109,,X2,X2,,,
audio select,155,,center,center,,,
audio level,115,,rear,rear,,,
flip display,129,,Phantom1,Phantom1,,,
fav/scan,,,Phantom2,Phantom2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
